original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Selecionar, Y - Inverter seleção, (+) - Menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Selecionar, Y - Inverter seleção, (+) - Menu, L3 - Iniciar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Selecionar, Y - Inverter seleção, (+) - Menu, R3 - Ordenar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Selecionar, Y - Inverter seleção, (+) - Menu, R3 - Ordenar, L3 - Iniciar"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Selecionar, Y - Inverter seleção, A - Abrir, (-) - 2º painel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Selecionar, Y - Inverter seleção, ⬅/➡ - Mudar painel, (-) - Fechar"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Mudar data, Y - Período, X - Ordenar, (+) - Selecionar usuário"
892,892
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tempo de jogo \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Não foi possível montar a partição do sistema
"DPAD или стики для перемещения, (+) - Настройки","DPAD ou sticks para mover, (+) - Configurações"
Ошибка создания файла: {},Erro ao criar arquivo: {}
Подключение к серверу...,Conectando ao servidor...
      Название: {}\n      Издатель: {}\n      Версия: ,      Título: {}\n      Editora: {}\n      Versão: 
   Это действие будет нельзя отменить   ,   Esta ação não pode ser desfeita   
SDK подменён,SDK substituído
Тип оборудования        : {},Tipo de hardware         : {}
Точка доступа,Ponto de acesso
Традиционный китайский,Chinês tradicional
Транзисторов:      {:>3},Transistores:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,É necessário ativar manualmente a sincronização de hora via Internet nas configurações
Тёмная комната,Quarto escuro
Убрать из любимых,Remover dos favoritos
Увеличить размер (в МБ),Aumentar tamanho (em MB)
"Уверены, что хотите продолжить?",Tem certeza que deseja continuar?
Удаление Wi-Fi профиля,Excluindo perfil Wi-Fi
Удаление Wi-Fi профиля...,Excluindo perfil Wi-Fi...
Удаление {} бекапа,Excluindo backup de {}
Удаление {} бекапов,Excluindo {} backups
Удаление {} сохранений,Excluindo {} salvamentos
Удаление {} сохранения,Excluindo {} salvamento
Удаление бекапов,Excluindo backups
Удаление записи об игре...,Excluindo registro do jogo...
Удаление игр,Excluindo jogos
Удаление игры ,Excluindo jogo 
Удаление игры целиком: [{}],Excluir jogo completo: [{}]
"SSID : {}, Пароль: {}","SSID : {}, Senha: {}"
Удаление каталога LFS,Excluindo diretório LFS
Удаление контента,Excluindo conteúdo
Удаление настроек родительского контроля...,Excluindo as configurações de controle parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Falha ao excluir.\n\nPressione qualquer botão para continuar
Удаление неиспользуемого {}...,Excluindo {} não utilizado...
Удаление плейсхолдера...,Excluindo marcador de posição...
Удаление пользователя,Excluindo usuário
Удаление пользователя...,Excluindo usuário...
Удаление ранее установленных файлов...,Excluindo arquivos instalados anteriormente...
Удаление родительского контроля,Excluindo controle parental
SaveFS очищена,SaveFS limpa
Удаление связи с Nintendo account...,Excluindo o vínculo com a conta Nintendo...
Удаление сохранений,Excluindo dados salvos
Удаление сохранения целиком,Excluindo dados salvos completos
Удаление старого     {}...,Excluindo antigo     {}...
Удаление старого файла {}...,Excluindo arquivo antigo {}...
Удаление старой записи об игре...,Excluindo registro de jogo antigo...
Удаление старой папки {}...,Excluindo pasta antiga {}...
Удаление тайтла: [{}],Excluindo título: [{}]
Удаление тикетов ({}),Excluindo tickets ({})
Удаление...,Excluindo...
TempC0                : {:04x},TempC0                  : {:04x}
Удалить,Excluir
Удалить LFS,Excluir LFS
Удалить сохранения,Excluir dados salvos
Удалить старые бекапы,Excluir backups antigos
Удаляется {} из {}...,Excluindo {} de {}...
Удаляется {}...,Excluindo {}...
Удаляется бекап ,Excluindo backup 
Удаляется запись о контенте...,Excluindo registro de conteúdo...
Удаляется запись об игре...,Excluindo registro do jogo...
Удаляется игра и весь связанный контент,Excluindo o jogo e todo o conteúdo relacionado
Titlekey не может быть инициализирован,Titlekey não pode ser inicializado
Удаляется папка LFS...,Excluindo pasta LFS...
Удаляется пустая папка,Excluindo pasta vazia
Удаляется сохранение {}...,Excluindo dados salvos {}...
Удаляется старая запись о контенте...,Excluindo registro de conteúdo antigo...
Удаляется старый cnmt.nca...,Excluindo cnmt.nca antigo...
Удаляется тикет: {}...,Excluindo ticket: {}...
Удалять после установки :,Excluir após instalar          :
Удаляются все объекты из альбома для игры,Excluindo todos os itens do álbum do jogo
Удаляются все сохранения для игры,Excluindo todos os dados salvos para o jogo
Удаляются сохранения...,Excluindo dados salvos...
"UID: {}, Ник: {}","UID: {}, Apelido: {}"
Удалённые,Excluídos
Удачный экспорт,Exportação bem-sucedida
Уделение старого тикета...,Excluindo ticket antigo...
