original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - Seleziona, Y - Inverti selezione, (+) - Menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - Seleziona, Y - Inverti selezione, (+) - Menu, L3 - Avvia"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - Seleziona, Y - Inverti selezione, (+) - Menu, R3 - Ordina"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - Seleziona, Y - Inverti selezione, (+) - Menu, R3 - Ordina, L3 - Avvia"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - Seleziona, Y - Inverti selezione, A - Apri, (-) - 2° pannello"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - Seleziona, Y - Inverti selezione, ⬅/➡ - Cambia pannello, (-) - Chiudi"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Cambia data, Y - Periodo, X - Ordina, (+) - Seleziona utente"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tempo di gioco \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Impossibile montare la partizione di sistema
"DPAD или стики для перемещения, (+) - Настройки","DPAD o stick per muoversi, (+) - Impostazioni"
Ошибка создания файла: {},Errore durante la creazione del file: {}
Подключение к серверу...,Connessione al server...
"Бункер, госиздат «Зазеркалье».",la vittoria».
      Название: {}\n      Издатель: {}\n      Версия: ,      Titolo: {}\n      Editore: {}\n      Versione: 
   Это действие будет нельзя отменить   ,   Questa azione non può essere annullata   
SDK подменён,SDK sostituito
Тип оборудования        : {},Tipo di hardware       : {}
Точка доступа,Punto di accesso
Традиционный китайский,Cinese tradizionale
Транзисторов:      {:>3},Transistor:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,È necessario abilitare manualmente la sincronizzazione dell'ora tramite Internet nelle impostazioni
Тёмная комната,Stanza buia
Убрать из любимых,Rimuovi dai preferiti
Увеличить размер (в МБ),Aumenta dimensioni (in MB)
"Уверены, что хотите продолжить?",Sei sicuro di voler continuare?
Удаление Wi-Fi профиля,Eliminazione profilo Wi-Fi
Удаление Wi-Fi профиля...,Eliminazione profilo Wi-Fi...
Удаление {} бекапа,Eliminazione backup {}
Удаление {} бекапов,Eliminazione di {} backup
Удаление {} сохранений,Eliminazione di {} salvataggi
Удаление {} сохранения,Eliminazione di {} salvataggio
Удаление бекапов,Eliminazione backup
Удаление записи об игре...,Eliminazione del record di gioco...
Удаление игр,Eliminazione giochi
Удаление игры ,Eliminazione gioco 
Удаление игры целиком: [{}],Elimina gioco completo: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Password: {}"
Удаление каталога LFS,Eliminazione directory LFS
Удаление контента,Eliminazione contenuto
Удаление настроек родительского контроля...,Eliminazione delle impostazioni di parental control...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Eliminazione fallita.\n\nPremi un tasto qualsiasi per continuare
Удаление неиспользуемого {}...,Eliminazione di {} inutilizzato...
Удаление плейсхолдера...,Eliminazione del segnaposto...
Удаление пользователя,Eliminazione utente
Удаление пользователя...,Eliminazione utente...
Удаление ранее установленных файлов...,Eliminazione dei file installati in precedenza...
Удаление родительского контроля,Eliminazione parental control
SaveFS очищена,SaveFS pulita
Удаление связи с Nintendo account...,Eliminazione del collegamento all'account Nintendo...
Удаление сохранений,Eliminazione salvataggi
Удаление сохранения целиком,Eliminazione del salvataggio completo
Удаление старого     {}...,Eliminazione vecchio     {}...
Удаление старого файла {}...,Eliminazione vecchio file {}...
Удаление старой записи об игре...,Eliminazione del vecchio record di gioco...
Удаление старой папки {}...,Eliminazione vecchia cartella {}...
Удаление тайтла: [{}],Eliminazione titolo: [{}]
Удаление тикетов ({}),Eliminazione ticket ({})
Удаление...,Eliminazione...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Elimina
Удалить LFS,Elimina LFS
Удалить сохранения,Elimina salvataggi
Удалить старые бекапы,Elimina vecchi backup
Удаляется {} из {}...,Eliminazione di {} su {}...
Удаляется {}...,Eliminazione di {}...
Удаляется бекап ,Eliminazione backup 
Удаляется запись о контенте...,Eliminazione record del contenuto...
Удаляется запись об игре...,Eliminazione record di gioco...
Удаляется игра и весь связанный контент,Eliminazione del gioco e di tutti i contenuti correlati
Titlekey не может быть инициализирован,Titlekey non può essere inizializzato
Удаляется папка LFS...,Eliminazione cartella LFS...
Удаляется пустая папка,Eliminazione cartella vuota
Удаляется сохранение {}...,Eliminazione salvataggio {}...
Удаляется старая запись о контенте...,Eliminazione vecchio record del contenuto...
Удаляется старый cnmt.nca...,Eliminazione vecchio cnmt.nca...
Удаляется тикет: {}...,Eliminazione ticket: {}...
Удалять после установки: ,Elimina dopo l'installazione: 
Удаляются все объекты из альбома для игры,Eliminazione di tutti gli elementi dall'album di gioco
Удаляются все сохранения для игры,Eliminazione di tutti i salvataggi per il gioco
Удаляются сохранения...,Eliminazione dati di salvataggio...
"UID: {}, Ник: {}","UID: {}, Nickname: {}"
Удалённые,Eliminati
Удачный экспорт,Esportazione riuscita
Уделение старого тикета...,Eliminazione vecchio ticket...
Упаковка каталога в RomFS,Impacchettamento directory in RomFS
Упрощенный китайский,Cinese semplificato
Уровень заряда батареи         : {},Livello batteria         : {}
Успешно разобран как PFS0 файл,Analizzato correttamente come file PFS0
Устанавливается {},Installazione di {}
Установить как аватар...,Imposta come avatar...
Установка,Installazione
URL для проверки обновлений,URL per il controllo aggiornamenti
Установка анлокера...,Installazione unlocker...
Установка завершена,Installazione completata
Установка игр (NAND),Installa giochi (NAND)
Установка игр (SD Card),Installazione giochi (Scheda SD)
Установка игры завершена,Installazione del gioco completata
Установка обновлений игр,Installa aggiornamenti giochi
Установка прервана,Installazione interrotta
Установка с картриджа,Installa da cartuccia
Установка тайтлов ({}/{}),Installazione titoli ({}/{})
Установка через DBIbackend,Installa tramite DBIbackend
USB Соединение,Connessione USB
Установка ярлыка...,Installazione collegamento...
Установлен,Installato
Установленные,Installati
Установленные homebrew,Homebrew installato
Установленные homebrew ({}),Homebrew installato ({})
Установленные игры,Giochi installati
Установленные тикеты,Ticket installati
Установленные тикеты ({}),Ticket installati ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Il file è danneggiato e non può essere installato. Firma HEAD non trovata
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Il file è danneggiato e non può essere installato. Firma HFS0 non trovata nella partizione root
