Found 2011 alignment issues

ACTIVITY_INFO        | be    | + 5 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | be    | + 4 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | be    | + 4 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | be    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | be    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | de    | + 5 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | de    | + 5 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | de    | + 4 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | de    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | de    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | en    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | en    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | en    | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | en    | + 3 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | en    | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | engb  | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | engb  | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | engb  | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | engb  | + 3 chars | Общее время активной игры     : {} часов...
ACTIVITY_INFO        | engb  | + 3 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | es    | + 4 chars | Общее число игровых сессий    : {}...
ACTIVITY_INFO        | es    | + 3 chars | RTC запущены (приблизительно) : {}...
ACTIVITY_INFO        | es    | + 3 chars | Дата первого игрового события : {}...
ACTIVITY_INFO        | es    | + 3 chars | Общее время запущенных игр    : {} часов...
ACTIVITY_INFO        | es    | + 3 chars | Общее время активной игры     : {} часов...
